,5957,5958,5959
2022-01-01,2.25,0,2.00
2022-01-02,2.25,4.50,4.00
2022-01-03,7.05,2.55,6.00
2022-01-04,2.25,6.75,9.25
2022-01-05,0,2.25,4.00
2022-01-06,4.50,2.25,5.00
2022-01-07,4.50,2.25,4.00
2022-01-08,2.55,2.25,4.00
2022-01-09,0,0,0
2022-01-10,2.25,4.50,6.00
2022-01-11,6.75,4.50,10.50
2022-01-12,2.25,2.25,4.00
2022-01-13,9.00,6.75,12.00
2022-01-14,2.55,2.25,4.00
2022-01-15,2.55,0,4.50
2022-01-16,4.50,2.25,6.00
2022-01-17,4.50,2.25,6.00
2022-01-18,0,0,0
2022-01-19,2.25,2.25,3.00
2022-01-20,6.75,4.50,8.50
2022-01-21,0,2.25,4.00
2022-01-22,4.50,4.50,8.00
2022-01-23,6.75,2.25,10.00
2022-01-24,4.50,7.65,8.50
2022-01-25,2.25,6.75,10.50
2022-01-26,2.25,4.50,4.00
2022-01-27,9.00,6.75,13.50
2022-01-28,0,0,0
2022-01-29,2.25,0,2.00
2022-01-30,6.75,4.50,10.00
2022-01-31,2.25,2.25,4.00
2022-02-01,2.55,9.30,13.00
2022-02-02,9.90,4.50,13.50
2022-02-03,0,0,0
2022-02-04,2.55,4.80,6.00
2022-02-05,4.50,0,6.00
2022-02-06,9.00,7.05,14.50
2022-02-07,4.80,4.50,6.00
2022-02-08,2.25,4.50,7.00
2022-02-09,7.05,4.80,6.50
2022-02-10,0,0,0
2022-02-11,0,2.25,2.00
2022-02-12,4.50,4.50,10.50
2022-02-13,2.25,4.50,6.00
2022-02-14,0,0,0
2022-02-15,11.85,6.75,21.50
2022-02-16,4.80,4.80,10.50
2022-02-17,2.55,4.50,7.50
2022-02-18,0,2.25,2.00
2022-02-19,9.30,2.25,24.00
2022-02-20,4.50,0,8.40
2022-02-21,2.55,2.55,4.00
2022-02-22,2.25,2.25,6.00
2022-02-23,2.25,6.75,6.00
2022-02-24,12.15,4.80,17.50
2022-02-25,9.00,9.00,13.00
2022-02-26,4.50,2.25,4.50
2022-02-27,2.25,2.25,4.00
2022-02-28,0,0,0
2022-03-01,2.25,2.25,7.00
2022-03-02,2.55,2.55,6.50
2022-03-03,2.25,2.25,4.00
2022-03-04,4.80,6.75,10.50
2022-03-05,4.50,2.25,6.50
2022-03-06,0,2.25,2.00
2022-03-07,2.55,6.75,8.00
2022-03-08,2.25,4.50,7.00
2022-03-09,2.25,4.50,4.00
2022-03-10,2.25,0,0
2022-03-11,9.00,0,10.00
2022-03-12,4.50,0,4.00
2022-03-13,6.75,2.25,10.00
2022-03-14,0,0,0
2022-03-15,4.50,6.75,10.00
2022-03-16,4.50,9.30,10.50
2022-03-17,2.25,4.50,8.00
2022-03-18,2.25,9.30,15.50
2022-03-19,2.25,0,2.00
2022-03-20,4.50,4.80,8.00
2022-03-21,4.80,0,7.00
2022-03-22,0,0,0
2022-03-23,4.50,4.50,5.00
2022-03-24,11.55,4.50,14.50
2022-03-25,4.80,2.25,4.00
2022-03-26,9.00,4.50,13.50
2022-03-27,4.50,2.25,4.00
2022-03-28,4.50,2.25,4.50
2022-03-29,0,9.00,6.50
2022-03-30,2.55,0,3.00
2022-03-31,9.00,4.50,14.00
2022-04-01,6.75,0,10.00
2022-04-02,6.75,0,6.50
2022-04-03,13.50,0,12.00
2022-04-04,4.80,0,7.00
2022-04-05,11.55,5.75,13.00
2022-04-06,2.25,0,2.00
2022-04-07,0,0,0
2022-04-08,4.80,2.25,4.50
2022-04-09,4.50,2.25,4.50
2022-04-10,2.25,6.75,6.00
2022-04-11,9.30,4.50,7.00
2022-04-12,2.25,4.50,6.00
2022-04-13,0,2.25,4.00
2022-04-14,0,0,0
2022-04-15,2.25,4.80,6.50
2022-04-16,4.50,2.25,6.50
2022-04-17,4.50,0,4.00
2022-04-18,4.50,2.25,7.00
2022-04-19,0,0,0
2022-04-20,0,0,0
2022-04-21,9.00,9.00,12.50
2022-04-22,6.75,0,10.00
2022-04-23,6.75,2.25,4.00
2022-04-24,9.60,0,11.50
2022-04-25,13.50,4.50,12.50
2022-04-26,0,0,0
2022-04-27,0,0,0
