,3664,3662,3663,3661
2022-01-01,2.25,0,2.25,4.75
2022-01-02,2.25,0,2.00,2.25
2022-01-03,4.50,0,2.00,2.25
2022-01-04,0,0,0,0
2022-01-05,0,0,0,0
2022-01-06,9.00,0,5.25,4.50
2022-01-07,6.75,0,4.50,6.75
2022-01-08,0,0,0,0
2022-01-09,0,0,0,0
2022-01-10,4.50,0,4.25,2.25
2022-01-11,0,0,0,0
2022-01-12,2.25,0,2.00,2.25
2022-01-13,6.75,0,5.00,4.50
2022-01-14,11.25,0,6.50,11.25
2022-01-15,2.25,0,2.00,2.25
2022-01-16,0,0,0,0
2022-01-17,2.50,0,2.00,7.50
2022-01-18,0,0,2.00,4.50
2022-01-19,6.75,0,8.25,9.00
2022-01-20,4.50,0,4.00,9.00
2022-01-21,7.00,0,6.25,4.75
2022-01-22,2.25,0,2.00,6.75
2022-01-23,0,0,0,0
2022-01-24,2.50,0,2.25,0
2022-01-25,4.50,0,2.00,2.25
2022-01-26,4.50,0,4.00,9.25
2022-01-27,0,0,0,0
2022-01-28,0,0,0,0
2022-01-29,2.25,0,0,2.25
2022-01-30,0,0,0,0
2022-01-31,0,0,0,0
2022-02-01,4.50,0,0,2.25
2022-02-02,2.25,0,2.00,4.50
2022-02-03,4.50,0,4.00,4.50
2022-02-04,15.75,0,12.75,15.75
2022-02-05,0,0,0,0
2022-02-06,7.00,0,4.50,2.25
2022-02-07,2.25,0,2.00,4.75
2022-02-08,4.50,0,3.00,2.25
2022-02-09,4.50,0,2.75,2.50
2022-02-10,4.50,0,2.00,2.25
2022-02-11,7.00,0,4.00,4.75
2022-02-12,4.75,0,6.00,2.25
2022-02-13,2.25,0,2.00,2.25
2022-02-14,0,0,0,2.25
2022-02-15,4.50,0,4.00,4.50
2022-02-16,2.25,0,2.00,4.50
2022-02-17,2.25,0,0,2.25
2022-02-18,6.75,0,4.50,6.75
2022-02-19,2.25,0,2.00,2.25
2022-02-20,0,0,0,0
2022-02-21,2.25,0,0,2.25
2022-02-22,4.75,0,2.25,2.50
