,6285,6286,3323,3321
2021-11-16,0.01,0.01,2.0,5.5
2021-11-17,0.01,0.01,2.0,0.01
2021-11-18,0.01,0.01,8.0,13.75
2021-11-19,0.01,0.01,6.0,8.25
2021-11-20,0.01,0.01,6.25,5.5
2021-11-21,0.01,0.01,2.0,2.75
2021-11-22,0.01,0.01,2.0,0.01
2021-11-23,0.01,0.01,8.0,15.25
2021-11-24,0.01,0.01,8.0,8.25
2021-11-25,0.01,0.01,4.25,9.15
2021-11-26,2.25,4.8,6.0,9.15
2021-11-27,0.01,0.01,4.0,11.0
2021-11-28,0.01,0.01,2.0,0.01
2021-11-29,0.01,0.01,0.01,0.01
2021-11-30,0.01,0.01,4.38,8.55
2021-12-01,0.01,0.01,4.0,5.5
2021-12-02,0.01,0.01,0.01,0.01
2021-12-03,0.01,0.01,4.0,11.6
2021-12-04,0.01,0.01,10.0,16.5
2021-12-05,0.01,0.01,2.0,2.75
2021-12-06,0.01,0.01,2.0,2.75
2021-12-07,0.01,0.01,4.0,5.5
2021-12-08,0.01,0.01,6.0,8.55
2021-12-09,0.01,0.01,6.0,8.25
2021-12-10,0.01,0.01,0.01,2.75
2021-12-11,0.01,0.01,2.0,2.75
2021-12-12,0.01,0.01,6.0,14.95
2021-12-13,0.01,0.01,3.61,9.15
2021-12-14,0.01,0.01,2.0,0.01
2021-12-15,0.01,0.01,0.01,0.01
2021-12-16,0.01,0.01,4.0,5.8
2021-12-17,0.01,0.01,2.0,2.75
2021-12-18,0.01,0.01,2.0,8.25
2021-12-19,0.01,0.01,2.0,5.8
2021-12-20,0.01,0.01,4.0,2.75
2021-12-21,0.01,0.01,2.0,2.75
2021-12-22,0.01,0.01,6.0,5.5
2021-12-23,0.01,0.01,2.0,2.75
2021-12-24,0.01,0.01,4.0,13.75
2021-12-25,0.01,0.01,2.0,6.1
2021-12-26,0.01,0.01,0.01,2.75
2021-12-27,0.01,0.01,2.0,2.75
2021-12-28,0.01,0.01,2.0,2.75
2021-12-29,0.01,0.01,4.0,8.25
2021-12-30,0.01,0.01,5.99,2.75
2021-12-31,0.01,0.01,2.0,2.75
2022-01-01,0.01,0.01,2.0,2.75
2022-01-02,0.01,0.01,8.0,11.67
2022-01-03,0.01,0.01,0.01,2.75
2022-01-04,0.01,0.01,4.0,2.75
2022-01-05,0.01,0.01,0.01,0.01
2022-01-06,0.01,0.01,0.01,0.01
2022-01-07,0.01,0.01,0.01,0.01
2022-01-08,0.01,0.01,2.0,5.5
2022-01-09,0.01,0.01,4.0,5.8
2022-01-10,0.01,0.01,8.0,11.9
