,5402,5404,5405,5403
2021-11-16,2.0,1.75,1.75,2.0
2021-11-17,0.01,1.75,0.01,2.0
2021-11-18,6.0,5.25,3.5,10.25
2021-11-19,2.0,1.75,2.0,2.0
2021-11-20,2.0,1.75,1.75,4.0
2021-11-21,8.5,6.25,5.25,8.25
2021-11-22,4.0,3.5,0.01,8.25
2021-11-23,4.25,3.5,3.5,4.25
2021-11-24,4.5,1.75,0.01,2.25
2021-11-25,0.01,3.5,0.01,4.0
2021-11-26,2.25,2.0,0.01,1.23
2021-11-27,2.0,6.5,1.75,4.0
2021-11-28,2.25,3.75,1.75,8.0
2021-11-29,8.75,3.5,7.0,6.5
2021-11-30,6.25,7.0,5.25,10.0
2021-12-01,2.25,3.5,0.01,4.25
2021-12-02,4.25,1.75,3.75,4.25
2021-12-03,6.75,5.25,3.5,13.0
2021-12-04,6.0,9.0,5.25,8.25
2021-12-05,0.01,0.01,0.01,0.01
2021-12-06,8.5,7.0,3.5,8.5
2021-12-07,0.01,0.01,0.01,0.01
2021-12-08,2.0,1.75,1.75,2.0
2021-12-09,8.5,5.5,1.75,8.5
2021-12-10,2.0,0.01,1.75,0.01
2021-12-11,2.0,1.75,2.0,4.0
2021-12-12,9.0,8.75,7.0,11.0
2021-12-13,6.5,3.5,5.5,8.5
2021-12-14,4.0,3.5,3.5,6.0
2021-12-15,4.25,3.5,3.5,4.25
2021-12-16,0.01,0.01,0.01,0.01
2021-12-17,4.75,5.25,4.0,6.75
2021-12-18,13.0,10.5,12.25,12.25
2021-12-19,6.48,5.5,3.75,6.5
2021-12-20,11.5,8.75,7.0,13.25
2021-12-21,4.25,1.75,0.01,2.0
2021-12-22,0.01,1.75,0.01,2.0
2021-12-23,4.25,3.75,0.25,4.25
2021-12-24,6.0,3.75,3.75,6.25
2021-12-25,2.0,0.01,1.75,0.01
2021-12-26,0.01,0.01,0.01,0.01
2021-12-27,2.25,1.75,1.75,2.0
2021-12-28,4.0,5.25,3.5,6.25
2021-12-29,2.0,1.75,1.75,2.25
2021-12-30,9.25,3.5,3.5,9.24
2021-12-31,6.25,3.75,5.25,4.25
2022-01-01,6.75,5.25,4.5,9.0
2022-01-02,0.01,0.01,0.01,0.01
2022-01-03,0.01,0.01,0.01,0.01
2022-01-04,2.0,1.75,0.01,2.0
2022-01-05,2.0,7.0,5.25,8.5
2022-01-06,2.0,0.01,1.75,2.0
2022-01-07,2.0,5.25,1.75,8.25
2022-01-08,0.01,0.01,0.01,0.01
2022-01-09,4.25,3.75,1.75,8.5
2022-01-10,4.5,5.25,3.5,5.0
2022-01-11,6.25,5.25,3.5,6.0
2022-01-12,2.0,1.75,1.75,2.0
2022-01-13,2.0,5.25,1.75,6.0
2022-01-14,10.5,9.25,7.0,14.75
2022-01-15,6.5,5.25,5.25,6.5
2022-01-16,0.01,1.75,0.01,0.01
2022-01-17,4.25,5.25,3.5,10.75
2022-01-18,10.0,5.25,7.0,8.0
2022-01-19,0.01,1.75,0.01,2.0
2022-01-20,6.25,4.0,2.0,6.5
2022-01-21,0.01,1.75,0.01,2.0
2022-01-22,4.0,3.5,3.5,4.25
2022-01-23,6.5,5.0,5.0,8.5
2022-01-24,9.0,8.75,7.0,10.75
2022-01-25,6.0,7.5,3.5,6.0
2022-01-26,2.25,0.01,0.01,0.01
2022-01-27,4.0,5.25,0.01,6.0
2022-01-28,0.01,1.75,0.01,2.25
2022-01-29,0.01,1.75,0.01,2.25
2022-01-30,6.0,5.75,5.25,8.0
2022-01-31,4.25,3.75,3.75,4.25
2022-02-01,6.0,3.5,5.25,4.0
2022-02-02,4.0,3.5,3.5,6.0
2022-02-03,6.75,0.01,3.5,4.25
2022-02-04,4.25,5.25,3.5,6.25
2022-02-05,4.0,1.75,3.5,4.0
2022-02-06,8.5,5.75,5.25,6.0
2022-02-07,4.5,5.25,3.5,6.5
2022-02-08,0.01,0.01,0.01,0.01
2022-02-09,0.01,1.75,0.01,4.25
2022-02-10,2.0,1.75,1.75,2.0
2022-02-11,0.01,1.75,0.01,2.25
2022-02-12,2.0,1.75,0.01,2.0
2022-02-13,2.25,3.5,1.75,4.5
2022-02-14,6.25,6.0,6.5,10.5
2022-02-15,14.25,7.5,10.5,14.5
2022-02-16,6.5,3.5,4.0,6.0
2022-02-17,2.0,1.75,0.01,2.0
2022-02-18,2.0,1.75,1.75,4.25
2022-02-19,4.25,3.5,3.5,4.25
2022-02-20,2.0,1.75,0.01,2.0
2022-02-21,0.01,0.01,0.01,0.01
2022-02-22,2.0,5.25,1.75,8.0
